epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,4995.23,0.78284,3.99138,0.15196,0.56562,0.9754,0.93728,0.97461,0.97591,0.69823,0.57154,0.45429,0.35198,0.10314,1.07907,5.3719,0.07521,0.67481,1.10326,0.000676802,0.000676802,0.000676802
62,5075.42,0.83297,4.33065,0.17239,0.59383,0.98256,0.94334,0.94753,0.97813,0.68393,0.54545,0.42286,0.34954,0.11229,1.09243,5.33688,0.06291,0.68794,1.10478,0.000660299,0.000660299,0.000660299
63,5155.78,0.79255,3.90131,0.15604,0.56286,0.96124,0.93599,0.96214,0.97858,0.68416,0.47989,0.38286,0.27817,0.10671,1.07307,5.35419,0.06872,0.68143,1.0993,0.000643795,0.000643795,0.000643795
64,5236.06,0.7623,3.60126,0.12816,0.55412,0.95225,0.8971,0.98,0.97021,0.68456,0.47456,0.40071,0.3116,0.12443,1.06536,5.51546,0.07691,0.69454,1.09994,0.000627292,0.000627292,0.000627292
65,5316.76,0.77984,3.75119,0.15182,0.5617,0.95788,0.91262,0.94405,0.9747,0.67766,0.57731,0.43429,0.35764,0.13311,1.07604,5.45213,0.08018,0.70021,1.09285,0.000610789,0.000610789,0.000610789
66,5397.19,0.79369,3.68651,0.16372,0.55816,0.9435,0.87823,0.98,0.9803,0.67653,0.57392,0.43643,0.35016,0.12466,1.0691,5.29332,0.07242,0.66837,1.10985,0.000594286,0.000594286,0.000594286
67,5477.56,0.74963,3.6285,0.143,0.53002,0.95361,0.87978,0.97354,0.98082,0.71069,0.68937,0.5026,0.44279,0.15561,1.01865,5.16778,0.06724,0.6041,1.09614,0.000577782,0.000577782,0.000577782
68,5557.97,0.80996,3.69637,0.13098,0.55124,0.95721,0.95064,0.90643,0.97887,0.72577,0.63189,0.43643,0.39046,0.13893,1.00575,5.20111,0.06742,0.59311,1.07341,0.000561279,0.000561279,0.000561279
69,5638.35,0.72452,3.4255,0.1402,0.54189,0.96937,0.98017,0.86249,0.98125,0.71985,0.7083,0.49214,0.44297,0.1444,0.99074,5.09322,0.06683,0.63482,1.06752,0.000544776,0.000544776,0.000544776
70,5718.77,0.76415,3.76865,0.15361,0.53242,0.95871,0.95811,0.92493,0.97912,0.71447,0.65663,0.52786,0.47206,0.15484,0.98605,4.93262,0.06933,0.63884,1.07754,0.000528272,0.000528272,0.000528272
